,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,Touros,-5.1989,-35.4608,70.7,90,7,10.65,BR,1624169114
108,Jieshi,22.8134,115.8257,91.94,72,99,16.35,CN,1624169114
109,Cao Bang,22.6667,106.25,100.99,41,45,2.77,VN,1624168899
110,Kruisfontein,-34.0033,24.7314,60.64,36,25,11.32,ZA,1624169115
111,Southbridge,42.0751,-72.0334,69.35,90,100,1.01,US,1624168959
112,Flin Flon,54.7682,-101.865,47.35,89,88,9.51,CA,1624169116
113,Ribeira Grande,38.5167,-28.7,67.77,94,96,11.03,PT,1624169116
114,Anloga,5.7947,0.8973,79.92,82,100,11.88,GH,1624168948
115,Egvekinot,66.3167,-179.1667,54.72,44,58,2.08,RU,1624169116
116,Saint-Joseph,-21.3667,55.6167,73.78,68,45,14.41,RE,1624169117
117,Remontnoye,46.5614,43.6501,79.21,29,11,21.5,RU,1624169117
118,Guatire,10.4762,-66.5427,75.7,97,59,2.57,VE,1624169117
119,Celestún,20.8667,-90.4,78.51,79,86,8.88,MX,1624169117
120,Portland,45.5234,-122.6762,70.38,72,1,5.75,US,1624169118
121,Ixtapa,20.7,-105.2,76.23,90,100,1.99,MX,1624169118
122,Torrox,36.7579,-3.9523,67.41,71,34,7.65,ES,1624169118
123,Unity,52.4501,-109.1682,54.43,77,28,10.74,CA,1624169118
124,Pokhara,28.2333,83.9833,72.61,92,100,2.57,NP,1624169119
125,Qui Nhon,13.7667,109.2333,98.15,43,88,11.03,VN,1624169119
126,Tilichiki,60.4667,166.1,50.32,60,100,3.51,RU,1624169119
127,Fes,34.0372,-4.9998,50.25,87,0,5.75,MA,1624169120
128,Labuhan,-6.8844,112.2051,86.74,62,59,8.21,ID,1624169120
129,Methóni,36.8197,21.7049,77.22,66,0,9.51,GR,1624169120
130,Guozhen,34.3659,107.359,83.08,35,97,4.79,CN,1624169025
131,Constitución,-35.3333,-72.4167,49.95,75,97,3.06,CL,1624169121
132,Kyra,49.5776,111.9753,61.56,59,95,10.45,RU,1624169121
133,Gladstone,-23.85,151.25,67.93,45,0,8.05,AU,1624168964
134,Ariquemes,-9.9133,-63.0408,73.67,78,93,1.1,BR,1624169121
135,Champerico,14.3,-91.9167,83.35,81,100,4.14,GT,1624169122
136,Province of Mantua,45.1667,10.7833,79.75,77,50,1.01,IT,1624169122
137,Aksarka,66.5606,67.7975,47.17,67,100,23.02,RU,1624169122
138,Lucé,48.4369,1.4636,62.6,96,94,3.0,FR,1624169122
139,Mount Isa,-20.7333,139.5,71.37,20,3,3.44,AU,1624169122
140,Butaritari,3.0707,172.7902,82.72,68,4,0.38,KI,1624169123
141,Kargasok,59.0556,80.8572,57.42,46,91,3.36,RU,1624169123
142,Nyimba,-14.5566,30.8149,62.91,66,0,8.37,ZM,1624169123
143,Atuona,-9.8,-139.0333,79.05,80,18,22.82,PF,1624169123
144,George Town,5.4112,100.3354,89.89,69,20,1.01,MY,1624169124
145,Tasiilaq,65.6145,-37.6368,37.56,69,27,4.63,GL,1624169124
146,Barrow,71.2906,-156.7887,33.82,86,90,10.36,US,1624169054
147,Mandera,3.9366,41.867,82.22,37,98,23.44,KE,1624169125
148,Saldanha,-33.0117,17.9442,62.92,54,1,12.17,ZA,1624169125
149,Kiama,-34.6833,150.8667,58.37,85,84,5.01,AU,1624169125
150,Port Alfred,-33.5906,26.891,66.33,41,6,11.54,ZA,1624169126
151,Boende,-0.2167,20.8667,74.59,78,70,0.56,CD,1624169126
152,Upernavik,72.7868,-56.1549,34.68,73,36,9.8,GL,1624169019
153,Post Falls,47.718,-116.9516,70.45,63,40,0.0,US,1624169084
154,Envira,-7.3,-70.2167,69.1,98,75,2.46,BR,1624169127
155,Karratha,-20.7377,116.8463,75.56,45,1,12.57,AU,1624169127
156,Bethel,41.3712,-73.414,67.1,90,90,4.61,US,1624169127
157,Terra Santa,-2.1042,-56.4869,73.13,92,15,3.47,BR,1624169127
158,Denia,38.8408,0.1057,72.75,87,76,3.0,ES,1624169128
159,Léo,11.1,-2.1,77.05,68,100,6.15,BF,1624169128
160,Vila Franca do Campo,37.7167,-25.4333,66.61,81,66,9.57,PT,1624169128
161,Kavaratti,10.5669,72.642,83.14,75,100,20.83,IN,1624169128
162,Torbay,47.6666,-52.7314,54.39,74,100,5.01,CA,1624169128
163,Half Moon Bay,37.4636,-122.4286,68.81,84,90,1.01,US,1624169129
164,Manavālakurichi,8.1333,77.3,87.89,66,80,17.78,IN,1624169129
165,General Roca,-39.0333,-67.5833,27.0,64,70,4.12,AR,1624169129
166,Chui,-33.6971,-53.4616,55.06,98,99,4.41,UY,1624169129
167,Clyde River,70.4692,-68.5914,34.03,100,90,0.0,CA,1624169130
168,Nome,64.5011,-165.4064,57.74,53,80,3.36,US,1624169023
169,Thohoyandou,-22.9456,30.485,55.74,86,44,2.89,ZA,1624169130
170,Zapolyarnyy,69.4154,30.8136,51.08,62,98,9.26,RU,1624169131
171,Kaitangata,-46.2817,169.8464,48.56,92,95,6.89,NZ,1624169131
172,Hermanus,-34.4187,19.2345,63.75,46,42,8.5,ZA,1624169131
173,Karaton,-6.3424,106.1045,91.96,57,72,6.49,ID,1624169131
174,Beringovskiy,63.05,179.3167,41.85,91,84,2.84,RU,1624169132
175,Port Elizabeth,-33.918,25.5701,52.09,66,0,4.61,ZA,1624169132
176,Kununurra,-15.7667,128.7333,80.58,19,7,5.75,AU,1624169132
177,Hildburghausen,50.4255,10.7318,76.19,92,98,6.2,DE,1624169132
178,Klaksvík,62.2266,-6.589,47.32,92,97,17.43,FO,1624169132
179,Carroll,39.5501,-77.0164,72.72,87,1,0.0,US,1624169133
180,Zinder,13.8072,8.9881,86.07,45,79,5.59,NE,1624169133
181,Tabas,33.5959,56.9244,95.22,14,0,4.61,IR,1624169133
182,Snåase,64.2457,12.3778,51.35,94,100,2.21,NO,1624169133
183,Māngrol,21.1167,70.1167,87.19,66,85,19.15,IN,1624169134
184,East London,-33.0153,27.9116,67.3,39,6,9.28,ZA,1624168886
185,Ngunguru,-35.6167,174.5,58.15,81,71,16.37,NZ,1624169134
186,Petropavlovka,50.6114,105.3196,78.93,36,39,6.42,RU,1624169135
187,Russell,32.3502,-85.1999,74.91,90,90,4.61,US,1624169135
188,Longyearbyen,78.2186,15.6401,40.84,75,75,26.46,SJ,1624169135
189,Keetmanshoop,-26.5833,18.1333,54.09,47,0,9.46,NA,1624169136
190,Vestmannaeyjar,63.4427,-20.2734,43.61,75,17,23.02,IS,1624169136
191,Poya,-21.35,165.15,72.64,68,64,6.67,NC,1624169136
192,Gombong,-7.6072,109.5142,86.18,62,85,4.43,ID,1624169136
193,‘Āhuimanu,21.4447,-157.8378,78.51,67,1,8.05,US,1624169137
194,Faya,18.3851,42.4509,81.12,16,96,7.63,SA,1624169137
195,Port-Gentil,-0.7193,8.7815,77.65,79,80,13.87,GA,1624169137
196,Koulamoutou,-1.1303,12.4736,72.46,84,16,1.03,GA,1624169137
197,Dingle,10.9995,122.6711,85.86,69,100,11.56,PH,1624169138
198,Cockburn Town,21.4612,-71.1419,80.47,82,86,22.32,TC,1624169138
199,Belyy Yar,53.6039,91.3903,78.69,50,0,2.24,RU,1624169138
200,Kieta,-6.2167,155.6333,82.31,74,36,2.95,PG,1624169138
201,Olafsvik,64.8945,-23.7142,41.07,73,32,10.36,IS,1624169139
202,Hidalgo,20.5,-99.0,61.0,95,100,2.64,MX,1624169139
203,Qaanaaq,77.484,-69.3632,34.52,62,3,3.29,GL,1624169139
204,Allāpalli,19.4167,80.0667,91.65,48,30,7.63,IN,1624169139
205,Arraial do Cabo,-22.9661,-42.0278,69.51,83,19,32.57,BR,1624169139
206,Oranjestad,12.524,-70.027,80.51,87,37,23.26,AW,1624169140
207,Fulton,33.7668,-84.4499,73.06,93,90,1.99,US,1624169140
208,Burē,10.7,37.0667,62.2,82,97,2.91,ET,1624169140
209,Caniço,32.6333,-16.85,67.28,86,40,4.61,PT,1624169140
210,Padang,-0.9492,100.3543,84.79,64,98,6.15,ID,1624169141
211,Biltine,14.5333,20.9167,83.39,50,61,12.19,TD,1624169141
212,Puerto El Triunfo,13.2833,-88.55,80.76,85,78,2.04,SV,1624169141
213,Ambulu,-8.345,113.6058,85.62,64,46,5.93,ID,1624169141
214,Vaini,-21.2,-175.2,71.76,100,20,2.3,TO,1624169142
215,Mahébourg,-20.4081,57.7,75.25,61,59,18.57,MU,1624169142
216,Wajir,1.7471,40.0573,76.5,59,89,17.63,KE,1624169142
217,Rock Falls,41.7798,-89.689,70.21,73,1,3.44,US,1624169142
218,Tatarsk,55.219,75.9828,61.79,45,46,11.54,RU,1624169143
219,Ponta do Sol,32.6667,-17.1,65.71,78,20,6.22,PT,1624169143
220,Lüderitz,-26.6481,15.1594,70.99,32,3,16.71,NA,1624169143
221,Nadym,65.5333,72.5167,58.69,46,84,15.55,RU,1624169143
222,Marsá Maţrūḩ,31.3525,27.2453,74.71,68,0,8.03,EG,1624169143
223,Bengkulu,-3.8004,102.2655,84.52,65,72,7.81,ID,1624169144
224,Bud,39.447,-86.1758,75.54,98,50,7.52,US,1624169144
225,Great Yarmouth,52.6083,1.7305,56.44,95,100,6.85,GB,1624169144
226,Narsaq,60.9167,-46.05,46.62,71,100,2.53,GL,1624169144
227,Dehlorān,32.6941,47.2679,102.31,8,0,5.06,IR,1624169145
228,Independence,39.0911,-94.4155,81.39,59,75,17.27,US,1624169145
229,Kuminskiy,58.6667,66.5667,58.1,42,52,18.52,RU,1624169145
230,San Patricio,28.017,-97.5169,84.85,81,94,9.1,US,1624169145
231,Iqaluit,63.7506,-68.5145,34.7,80,100,5.01,CA,1624169146
232,Aurangabad,19.8833,75.3333,87.1,44,24,17.94,IN,1624169146
233,Kostanay,53.1667,63.5833,79.09,47,0,22.37,KZ,1624169146
234,Ruston,32.5232,-92.6379,76.1,91,5,5.08,US,1624169147
235,North Bend,43.4065,-124.2243,59.86,89,1,17.27,US,1624169147
236,Dikson,73.5069,80.5464,32.74,81,46,8.63,RU,1624169148
237,Kupang,-10.1667,123.5833,88.38,62,20,16.11,ID,1624169148
238,Kabo,7.6994,18.629,74.35,82,99,0.87,CF,1624169148
239,Udachny,66.4167,112.4,81.95,28,64,9.62,RU,1624169148
240,Koróni,36.8,21.95,78.08,63,0,2.57,GR,1624169148
241,Kavieng,-2.5744,150.7967,82.62,72,84,4.18,PG,1624169149
242,Kortkeros,61.8106,51.5806,60.8,40,13,8.14,RU,1624169149
243,Smithers,54.7804,-127.1743,55.44,58,5,1.28,CA,1624169149
244,Antonina,-25.4286,-48.7119,66.72,98,68,2.57,BR,1624169150
245,Mashhad,36.297,59.6062,87.94,23,0,13.8,IR,1624169150
246,Alice Springs,-23.7,133.8833,62.15,36,16,4.61,AU,1624169151
247,Hasaki,35.7333,140.8333,82.18,80,84,16.06,JP,1624169151
248,Saint-Augustin,51.226,-58.6502,52.05,82,100,5.39,CA,1624169151
249,Prestea,5.4327,-2.1428,72.81,97,80,2.17,GH,1624169152
250,Rapid Valley,44.0625,-103.1463,70.65,67,1,5.75,US,1624168979
251,Canmore,51.0834,-115.3521,49.24,96,100,1.72,CA,1624169152
252,Inyonga,-6.7167,32.0667,64.22,52,43,7.4,TZ,1624169152
253,Aginskoye,51.1,114.53,62.83,71,96,7.29,RU,1624169152
254,Puerto Escondido,15.85,-97.0667,79.88,85,95,4.34,MX,1624169153
255,Mana,5.6592,-53.7767,76.39,87,18,6.24,GF,1624169153
256,Waddān,29.1614,16.139,77.67,32,0,7.34,LY,1624169153
257,Agirish,61.9247,63.0231,45.1,68,100,20.62,RU,1624169153
258,Sisimiut,66.9395,-53.6735,39.2,97,100,0.56,GL,1624169154
259,Husavik,66.0449,-17.3389,40.87,88,99,10.27,IS,1624169154
260,Mount Gambier,-37.8333,140.7667,55.6,55,69,0.65,AU,1624168883
261,Bubaque,11.2833,-15.8333,78.87,76,98,12.28,GW,1624169154
262,Noumea,-22.2763,166.4572,75.0,99,96,13.4,NC,1624169099
263,Esperance,-33.8667,121.9,63.93,39,50,13.11,AU,1624169155
264,Paysandu,-32.3214,-58.0756,41.61,92,0,5.12,UY,1624169155
265,Chintamani,13.4,78.0667,82.56,47,100,18.34,IN,1624169155
266,Hobyo,5.3505,48.5268,82.02,61,6,25.41,SO,1624169156
267,Nanortalik,60.1432,-45.2371,40.95,85,100,5.53,GL,1624169157
268,Coahuayana Viejo,18.7333,-103.6833,76.48,90,100,2.77,MX,1624169157
269,Esim,4.8699,-2.2405,77.18,85,96,6.11,GH,1624169021
270,Svidník,49.3082,21.5703,75.18,79,4,3.22,SK,1624169158
271,Geelong,-38.1471,144.3607,58.08,77,90,5.01,AU,1624169088
272,Garissa,-0.4536,39.6401,78.17,60,84,21.12,KE,1624169158
273,Mudanya,40.3753,28.8822,73.49,68,7,2.04,TR,1624169158
274,Andenes,69.3143,16.1194,52.07,87,90,8.05,NO,1624169158
275,Tual,-5.6667,132.75,79.95,81,63,13.6,ID,1624169159
276,Kirakira,-10.4544,161.9205,81.68,78,95,3.69,SB,1624169159
277,Bukama,-9.2,25.85,70.72,43,4,2.06,CD,1624169159
278,Verāval,20.9,70.3667,87.03,67,71,18.75,IN,1624169160
279,Kapit,2.0167,112.9333,73.29,99,100,2.62,MY,1624169160
280,Lata,40.1629,-8.3327,59.92,96,98,7.76,PT,1624169160
281,Bonavista,48.6499,-53.1147,49.93,74,90,11.99,CA,1624169161
282,San Cristobal,7.7669,-72.225,64.74,96,66,3.38,VE,1624169161
283,Mayo,38.8876,-76.5119,75.15,92,90,1.01,US,1624169161
284,Kasempa,-13.4584,25.8338,57.74,64,0,10.63,ZM,1624169162
285,Maryville,35.7565,-83.9705,71.85,86,90,1.01,US,1624169162
286,Shitanjing,39.2342,106.3439,78.58,23,100,5.21,CN,1624169072
287,Totskoye,52.5248,52.7623,77.5,59,0,11.9,RU,1624169162
288,Koumra,8.9126,17.5539,73.78,85,100,6.55,TD,1624169163
289,Barcelos,41.5388,-8.6151,59.14,96,100,8.19,PT,1624169163
290,Thompson,55.7435,-97.8558,46.56,87,90,6.91,CA,1624169163
291,Anito,12.4497,125.2886,88.65,62,99,4.43,PH,1624169163
292,Santarém,-2.4431,-54.7083,77.13,100,40,4.61,BR,1624169163
293,Montague,42.5356,-72.5351,71.35,81,91,1.39,US,1624169164
294,Pegnitz,49.7564,11.545,75.34,92,88,3.71,DE,1624169164
295,Hay River,60.8156,-115.7999,44.01,62,35,4.76,CA,1624169164
296,Airai,-8.9266,125.4092,66.02,73,80,3.91,TL,1624169164
297,Seoul,37.5683,126.9778,87.19,40,40,16.33,KR,1624169015
298,Katsuura,35.1333,140.3,82.24,74,82,7.9,JP,1624168874
299,Cayenne,4.9333,-52.3333,80.1,86,40,0.0,GF,1624169165
300,College Place,46.0493,-118.3883,74.91,58,1,1.99,US,1624169045
301,Rawson,-43.3002,-65.1023,41.16,57,44,7.11,AR,1624169165
302,Bulgan,48.8125,103.5347,75.96,37,20,6.64,MN,1624169166
303,Stromness,58.965,-3.296,52.05,81,98,16.58,GB,1624169166
304,Tezu,27.9167,96.1667,82.56,87,100,3.91,IN,1624169166
305,Neiafu,-18.65,-173.9833,77.68,83,20,3.44,TO,1624169166
306,Srednekolymsk,67.45,153.6833,65.57,31,51,16.02,RU,1624169167
307,Paamiut,61.994,-49.6678,40.19,97,100,7.94,GL,1624169167
308,Chapleau,47.8405,-83.4034,49.77,91,60,0.94,CA,1624169167
309,Nsanje,-16.92,35.262,64.72,91,88,3.76,MW,1624169167
310,Semibratovo,57.3046,39.5369,76.86,66,4,5.97,RU,1624169168
311,Kyaukse,21.6,96.1333,93.2,49,75,11.5,MM,1624169168
312,Geraldton,-28.7667,114.6,61.21,88,90,12.66,AU,1624169168
313,Laguna,38.421,-121.4238,88.3,50,1,3.0,US,1624169169
314,Inta,66.0317,60.1659,45.55,65,100,20.6,RU,1624169169
315,Ende,-8.8432,121.6623,82.0,76,35,4.68,ID,1624169169
316,Pontianak,-0.0333,109.3333,87.78,66,40,8.05,ID,1624169169
317,Río Gallegos,-51.6226,-69.2181,32.49,84,5,4.43,AR,1624169170
318,Xai-Xai,-25.0519,33.6442,66.65,83,43,3.0,MZ,1624168926
319,Lucea,18.451,-78.1736,79.86,80,45,7.05,JM,1624169170
320,Meulaboh,4.1363,96.1285,79.9,83,96,1.9,ID,1624169170
321,Saint George,37.1041,-113.5841,95.59,19,1,4.61,US,1624169171
322,Queenstown,-31.8976,26.8753,49.15,64,4,6.08,ZA,1624169171
323,Mâncio Lima,-7.6142,-72.8958,69.12,97,17,1.05,BR,1624169171
324,Tacuatí,-23.45,-56.5833,48.36,99,44,1.57,PY,1624169172
325,Departamento de Maldonado,-34.6667,-54.9167,49.23,91,100,5.57,UY,1624169172
326,Cururupu,-1.8283,-44.8683,72.91,97,75,2.62,BR,1624169172
327,Quatre Cocos,-20.2078,57.7625,75.09,61,72,18.39,MU,1624169172
328,Pisco,-13.7,-76.2167,64.45,82,90,1.14,PE,1624169172
329,Riverton,40.5219,-111.9391,82.89,31,1,1.99,US,1624169173
330,Belaya Gora,68.5333,146.4167,72.14,32,58,16.8,RU,1624169173
331,Schwyz,47.0279,8.6561,73.67,81,89,1.36,CH,1624169173
332,Billings Metropolitan Area,45.7833,-108.5007,65.97,39,75,13.8,US,1624169173
333,Buala,-8.145,159.5921,82.22,73,23,3.42,SB,1624169173
334,Knysna,-34.0363,23.0471,64.53,41,54,7.65,ZA,1624169174
335,Guerrero Negro,27.9769,-114.0611,62.87,89,6,16.71,MX,1624169174
336,Lumeje,-11.55,20.7833,55.56,53,11,7.09,AO,1624169174
337,Katherine,-14.4667,132.2667,80.92,18,76,9.22,AU,1624169174
338,Camacha,33.0833,-16.3333,63.82,88,75,12.66,PT,1624169175
339,Troitsko-Pechorsk,62.7084,56.1964,53.65,41,12,14.54,RU,1624169175
340,Rudnogorsk,57.2639,103.7519,71.69,60,66,1.95,RU,1624169175
341,Novi Ligure,44.7608,8.7896,73.36,76,87,1.99,IT,1624169176
342,Bystryy Istok,52.371,84.3873,49.03,95,100,10.07,RU,1624169176
343,Oyama,36.3,139.8,88.59,46,61,5.12,JP,1624169176
344,Phrae,18.0833,100.0,96.85,36,72,5.88,TH,1624168984
345,Falam,22.9167,93.6833,67.33,92,97,2.57,MM,1624169177
346,Mackay,-21.15,149.2,69.04,52,19,7.94,AU,1624169177
347,Lagoa,39.05,-27.9833,65.43,80,51,13.56,PT,1624169177
348,Lompoc,34.6391,-120.4579,61.11,91,75,0.0,US,1624169177
349,Jumla,29.2747,82.1838,68.99,80,100,4.03,NP,1624169178
350,Yulara,-25.2406,130.9889,66.04,30,2,4.61,AU,1624169178
351,Samarai,-10.6167,150.6667,79.52,73,100,10.89,PG,1624169178
352,Yanam,16.7333,82.2167,90.0,42,97,10.38,IN,1624169178
353,Alim,9.5649,122.4876,84.11,71,100,9.57,PH,1624169178
354,Donzdorf,48.6854,9.8105,75.67,71,89,4.18,DE,1624169179
355,Gopālpur,19.2667,84.9167,91.17,56,100,8.57,IN,1624169179
356,Santa Maria,-29.6842,-53.8069,51.21,97,83,2.46,BR,1624169179
357,Severo-Kuril'sk,50.6789,156.125,43.66,90,100,5.55,RU,1624169179
358,Tuatapere,-46.1333,167.6833,45.82,88,40,1.03,NZ,1624169180
